Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
857.9935	1077.611	10156.7	8339.05
858.1385	1079.5806	10065.85	8292.8
858.2835	1081.5496	9983.1	8254.45
858.4285	1083.5177	9992.6	8245.45
858.5736	1085.4852	9963.95	8200.45
858.7186	1087.4519	9941.75	8184.55
858.8635	1089.4179	10018.6	8149.5
859.0085	1091.3832	9975.8	8131.3
859.1535	1093.3478	10006.5	8125.55
859.2985	1095.3116	9921.75	8136.35
859.4435	1097.2747	9920.15	8109
859.5885	1099.2371	9851.1	8115.9
859.7334	1101.1987	9850	8079.65
859.8784	1103.1596	9913.4	8091.4
860.0234	1105.1198	9804.2	8044.8
860.1683	1107.0793	9887.9	8030.1
860.3133	1109.0381	9824.3	8007.45
860.4582	1110.9961	10023.45	8003.2
860.6031	1112.9534	9822.55	7958.95
860.7481	1114.9099	9844.55	7996.25
860.893	1116.8658	9792.4	7956.05
861.0379	1118.8209	10360.4	7975.7
861.1829	1120.7752	9926.15	7970.85
861.3278	1122.7289	9763.4	7971.85
861.4727	1124.6818	9724.6	7973.6
861.6176	1126.634	9751.55	7958.05
861.7625	1128.5855	9685.05	7945.85
861.9074	1130.5362	9705.2	7946.45
862.0523	1132.4862	9686.75	7919.4
862.1971	1134.4355	9778.8	7901.55
862.342	1136.384	9747.5	7943.85
862.4869	1138.3318	9695.15	7932.55
862.6318	1140.2789	9721.15	7918
862.7766	1142.2253	9678.2	7910.65
862.9215	1144.1709	9693.4	7914.9
863.0663	1146.1158	9699.75	7923.3
863.2112	1148.0599	10158.25	7895.75
863.356	1150.0034	9840.75	7908
863.5008	1151.9461	9687.7	7900.3
863.6456	1153.888	9713.9	7909.85
863.7905	1155.8293	9595.5	7850.65
863.9353	1157.7698	9729.65	7846.3
864.0801	1159.7096	9707.2	7824.75
864.2249	1161.6486	9623.8	7831.3
864.3697	1163.5869	9629.7	7870.6
864.5145	1165.5245	9580.55	7855.4
864.6592	1167.4613	9553.7	7822.1
